,MonthPE,Date,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_DHI,Daily_radiation
2020-04-30,4,2020-04-30,14.407142857142857,15.02142857142857,75.64285714285714,1013.1285714285714,274.64285714285717,4.814285714285715,528.1428571428571,149.42857142857142,526.2857142857143
2020-05-01,5,2020-05-01,14.22857142857143,14.071428571428571,58.714285714285715,1013.2142857142859,270.2857142857143,4.185714285714286,637.4285714285714,115.78571428571429,564.5
2020-05-02,5,2020-05-02,14.735714285714282,19.75,77.78571428571429,1013.5642857142858,247.21428571428572,3.914285714285714,315.14285714285717,250.85714285714286,454.14285714285717
2020-05-03,5,2020-05-03,13.914285714285713,11.192857142857145,67.42857142857143,1015.5857142857142,281.35714285714283,3.9357142857142864,579.5,122.0,549.7142857142857
2020-05-04,5,2020-05-04,14.249999999999998,7.135714285714286,55.285714285714285,1015.9714285714286,287.92857142857144,3.028571428571429,748.7857142857143,97.0,597.0714285714286
2020-05-05,5,2020-05-05,15.128571428571428,10.685714285714285,65.71428571428571,1014.6000000000001,265.5,3.728571428571428,727.4285714285714,94.0,588.7142857142857
2020-05-06,5,2020-05-06,15.692857142857147,10.092857142857143,60.857142857142854,1015.7142857142854,310.85714285714283,4.007142857142857,711.5,103.85714285714286,593.0
2020-05-07,5,2020-05-07,17.885714285714283,8.407142857142857,50.57142857142857,1010.6357142857142,213.5,2.9,732.7142857142857,97.21428571428571,600.2857142857143
2020-05-08,5,2020-05-08,18.099999999999998,10.307142857142859,51.785714285714285,1006.8357142857143,241.35714285714286,2.4928571428571433,708.3571428571429,107.07142857142857,595.2857142857143
2020-05-09,5,2020-05-09,14.985714285714284,9.442857142857141,69.5,1007.2071428571428,252.64285714285714,3.607142857142857,358.2857142857143,215.64285714285714,505.42857142857144
2020-05-10,5,2020-05-10,13.749999999999998,9.942857142857141,76.5,1007.9714285714286,242.64285714285714,4.135714285714286,356.14285714285717,199.57142857142858,476.2142857142857
2020-05-11,5,2020-05-11,14.214285714285714,17.092857142857145,70.5,1008.2642857142856,205.57142857142858,4.757142857142857,301.57142857142856,225.28571428571428,387.64285714285717
2020-05-12,5,2020-05-12,14.292857142857144,19.45714285714286,76.07142857142857,1009.2857142857144,225.0,4.792857142857143,266.57142857142856,253.21428571428572,448.07142857142856
2020-05-13,5,2020-05-13,14.442857142857141,21.53571428571428,73.35714285714286,1011.5714285714286,209.07142857142858,4.128571428571428,79.92857142857143,276.85714285714283,311.42857142857144
2020-05-14,5,2020-05-14,14.75,24.164285714285715,78.07142857142857,1013.4642857142859,206.57142857142858,3.3142857142857154,37.07142857142857,266.64285714285717,286.42857142857144
2020-05-15,5,2020-05-15,15.02142857142857,21.521428571428572,75.64285714285714,1013.6499999999997,269.85714285714283,3.971428571428571,552.8571428571429,137.64285714285714,546.0714285714286
2020-05-16,5,2020-05-16,15.557142857142855,18.87857142857143,73.28571428571429,1010.1428571428571,257.35714285714283,3.8928571428571423,531.8571428571429,154.57142857142858,557.4285714285714
2020-05-17,5,2020-05-17,16.585714285714285,21.014285714285716,73.35714285714286,1005.4499999999999,220.64285714285714,5.078571428571428,472.0,159.5,541.5
2020-05-18,5,2020-05-18,15.359999999999998,17.54666666666667,71.86666666666666,1006.3933333333334,233.33333333333334,5.473333333333334,351.53333333333336,193.26666666666668,451.8
2020-05-19,5,2020-05-19,14.620000000000003,16.58666666666667,72.4,1010.4266666666667,268.0,4.246666666666667,573.8,122.33333333333333,539.2
2020-05-20,5,2020-05-20,14.040000000000001,15.533333333333333,74.33333333333333,1013.6600000000001,276.53333333333336,4.080000000000001,344.6666666666667,211.2,447.8
2020-05-21,5,2020-05-21,14.986666666666663,14.473333333333333,73.13333333333334,1012.2866666666667,247.66666666666666,3.5866666666666664,660.0,98.8,567.4666666666667
2020-05-22,5,2020-05-22,14.693333333333333,11.913333333333332,66.86666666666666,1008.3666666666667,284.93333333333334,4.366666666666666,650.0,110.8,567.4
2020-05-23,5,2020-05-23,15.413333333333332,11.006666666666666,61.266666666666666,1008.6600000000001,268.06666666666666,3.5066666666666664,707.6,85.73333333333333,580.6666666666666
2020-05-24,5,2020-05-24,16.14666666666667,16.78666666666667,61.8,1009.4799999999998,252.0,2.7399999999999998,693.7333333333333,85.2,572.4
2020-05-25,5,2020-05-25,18.706666666666667,23.473333333333336,55.46666666666667,1007.4799999999999,265.53333333333336,2.7199999999999998,713.9333333333333,77.4,567.8666666666667
2020-05-26,5,2020-05-26,19.53333333333334,23.453333333333337,57.46666666666667,1006.1866666666666,268.2,2.6799999999999997,720.6666666666666,77.66666666666667,569.8666666666667
2020-05-27,5,2020-05-27,19.819999999999997,16.866666666666667,56.8,1006.2,255.93333333333334,2.94,725.4,79.6,579.2666666666667
2020-05-28,5,2020-05-28,16.57333333333333,16.89333333333333,69.8,1006.8933333333333,255.53333333333333,3.32,571.7333333333333,116.2,551.5333333333333
2020-05-29,5,2020-05-29,15.58,23.893333333333334,76.8,1006.5400000000001,234.6,4.16,332.6666666666667,196.93333333333334,470.0
2020-05-30,5,2020-05-30,16.68,25.36,73.2,1006.8866666666668,203.86666666666667,4.426666666666666,155.33333333333334,228.06666666666666,332.4
2020-05-31,5,2020-05-31,15.493333333333334,22.380000000000003,78.46666666666667,1009.2866666666666,258.8,3.3999999999999995,56.733333333333334,292.4,328.0
2020-06-01,6,2020-06-01,15.066666666666665,24.866666666666667,78.0,1010.1266666666669,256.73333333333335,3.3733333333333335,532.6666666666666,133.4,539.3333333333334
2020-06-02,6,2020-06-02,18.19375,23.49375,64.625,1009.8187500000001,236.8125,2.55625,633.875,90.0,534.75
2020-06-03,6,2020-06-03,20.175000000000004,19.31875,54.75,1008.8875,265.375,2.81875,653.5625,82.6875,541.0625
2020-06-04,6,2020-06-04,18.78125,14.812499999999998,59.4375,1004.4124999999999,259.5,2.9187499999999997,687.875,75.4375,550.6875
2020-06-05,6,2020-06-05,14.74,16.64666666666667,75.26666666666667,1003.0266666666666,247.06666666666666,6.366666666666666,404.26666666666665,153.66666666666666,446.26666666666665
2020-06-06,6,2020-06-06,14.386666666666665,15.453333333333335,73.73333333333333,1007.68,268.53333333333336,7.426666666666665,670.0,89.33333333333333,579.4
2020-06-07,6,2020-06-07,14.381250000000003,11.59375,65.8125,1013.30625,288.625,7.5062500000000005,675.125,80.6875,551.75
2020-06-08,6,2020-06-08,15.256249999999998,10.24375,56.375,1015.7937499999999,305.625,5.012499999999999,711.875,67.625,560.1875
2020-06-09,6,2020-06-09,17.125,13.4375,52.5,1015.4250000000001,234.375,2.825,694.1875,74.0,554.0625
2020-06-10,6,2020-06-10,17.925,15.787500000000003,62.0625,1012.0562499999999,254.6875,2.59375,591.75,119.125,523.75
2020-06-11,6,2020-06-11,17.043750000000003,15.012499999999996,71.1875,1009.6749999999998,249.4375,3.3812500000000005,549.875,133.6875,514.4375
2020-06-12,6,2020-06-12,15.068750000000001,18.225,75.75,1011.4437499999999,256.5,5.3999999999999995,335.875,173.625,397.1875
2020-06-13,6,2020-06-13,14.56,19.139999999999997,74.66666666666667,1012.8733333333334,268.8,5.793333333333333,622.4666666666667,95.93333333333334,564.7333333333333
